BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Alchiba VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba VII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba VII-b,,,,,,,,X,X,,X,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,X,
Alchiba VII-c,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Alchiba VII-d,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Alchiba VIII,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba VIII-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Alchiba VIII-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba IX-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba X-a,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba X-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Bannoc III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannoc IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannoc IV-a,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Bannoc IV-b,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Bannoc Secondus I,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes II,,,,,,,,,X,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Delta Vulpes III,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Delta Vulpes IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Delta Vulpes V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes V-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Delta Vulpes V-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes V-c,,,X,,,,,X,,,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,
Delta Vulpes V-d,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes V-e,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Delta Vulpes VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes VI-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Vulpes VII,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes I,,,,,,,,X,,,X,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Gamma Vulpes II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes II-a,,,,X,,,,,X,,X,,,,X,X,,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,,
Gamma Vulpes II-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Gamma Vulpes II-c,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes II-d,,,X,X,,,X,X,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Gamma Vulpes III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes III-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes IV-a,,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,,,,,,,X,,X,,,,X,,,
Gamma Vulpes IV-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes IV-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Vulpes IV-d,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi I,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi II,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,
Xi Ophiuchi III,,,,,,,,,,,X,,,X,X,,,,X,,,X,,,,,,,,,,,X,,,,,X,,,,,,,X
Xi Ophiuchi III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi IV,,,,,,,,X,,,,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi V,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,X,
Xi Ophiuchi V-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Xi Ophiuchi VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VI-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Xi Ophiuchi VI-b,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VI-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VI-d,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,X,,X,,,,,,,,,X,,,,,,,
Xi Ophiuchi VI-e,,,,,,,,X,,,,X,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,X,,,X,,,
Xi Ophiuchi VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VII-a,,X,,,,,,X,,,,,,,,X,,X,,,,,X,,,X,X,,,,,,,X,,,,,,,,,,,
Xi Ophiuchi VII-b,,,,X,,,,X,X,,,,,,,X,,,,,,,,,,X,X,,X,,X,,,,,,,,,,,,,,
Xi Ophiuchi VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VIII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VIII-b,,,,,,,,X,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VIII-c,,X,X,X,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,
Xi Ophiuchi VIII-d,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xi Ophiuchi VIII-e,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
XI Ophiuchi IX,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi I,,X,,,,,,X,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,X,,,,,,,,,,X
Zeta Ophiuchi II,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi III,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV-a,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV-d,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi IV-e,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi V-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi V-b,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi VI-a,,,,,X,,,,,,X,,,X,X,X,,,,,,,,,,,X,,,,,,X,,,,,X,,,,,,,
Zeta Ophiuchi VI-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeta Ophiuchi VI-c,,,,,,,,,X,,X,,,,,X,,,,,,,,,,X,X,,X,,,,,,,,,X,,,,,,,
Zeta Ophiuchi VI-d,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Zeta Ophiuchi VI-e,,,,,,,,X,,,X,,,,,X,,,,,,X,X,,,X,,,,X,,,,,,,,X,,,,,,,
Zosma I,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Zosma I-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,
Zosma II,,,,,,,,X,,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,
Zosma III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zosma III-a,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Zosma IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zosma IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Zosma IV-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Zosma IV-c,,,,,,,,,X,,,,,,X,X,,,X,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Zosma V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zosma V-a,,,,,,,,X,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,X,,,,X,,,,,,,
Zosma V-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zosma V-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel I,,,,X,,,,X,,,,,,X,,X,,,,,,,,,,X,,,,,X,,,X,,,,,,,,,,,
Bel I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel II,,,X,X,,,X,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Bel II-a,,,,,,,,,X,,X,,,,X,X,,,X,,,,,,,X,,,,,,,X,,,,,X,,,,,,,
Bel III,,,,,,,,X,,,X,,,,,X,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,,X,
Bel III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bel III-c,,,X,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bel IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel IV-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel IV-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel IV-c,,,X,,,,,X,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,
Bel IV-d,,,,,,,,,X,,,,,,X,X,,,X,,,,,,,X,,,X,,,,,,X,,,,,,,,,,
Bel IV-e,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Bel V,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel V-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel VII,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman I,,,,,,,,X,,,X,,,X,,,,,,,,X,X,,,,,,,,,,,X,,,,X,,,,,,X,
Feynman II,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,X,,,,,,
Feynman III,,,,,,,,X,,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,X,,,X,X,,,,,,
Feynman IV,,,X,X,,,X,X,,,,,,,X,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Feynman V,,,,,,,,,X,,X,,,X,,X,,,,,X,,,,,X,X,,,,,,,,,,,,,,,X,,,
Feynman V-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman V-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VI-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Feynman VI-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VI-c,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Feynman VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VII-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Feynman VII-b,,,X,X,,,,,,,,,,,,X,X,,,,,,,X,,,X,,,X,,,,,,,,X,,,,,,,
Feynman VII-c,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman VIII-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Feynman VIII-b,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Feynman VIII-c,,,,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Feynman VIII-d,,,,,X,,,,,,X,,,,X,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Feynman VIII-e,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Feynman IX,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feynman IX-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Heisenberg I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg II,,,,,,,,,,,X,,,X,,X,,,,,,X,,,,,X,,,,,,,,,,,X,,,,X,,X,
Heisenberg III,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Heisenberg IV,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,
Heisenberg V,,,,,,,,X,X,,,,,,,X,,,,,,X,,,,X,X,,X,,,,,,,,,X,,,,,,,
Heisenberg V-a,,,X,X,,X,,X,,,,,,,X,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,
Heisenberg VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VI-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Heisenberg VI-b,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Heisenberg VI-c,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VII-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VIII-a,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Heisenberg VIII-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Heisenberg VIII-c,,,,,,,,X,,,,,,,X,X,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,
Heisenberg VIII-d,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Heisenberg IX,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisenberg X,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan I,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan II,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Leviathan III,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Leviathan IV,,,X,,,,,X,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Leviathan V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan V-a,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Leviathan VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan VI-a,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviathan VI-b,,,,,,,,X,,,,,,,X,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,
Leviathan VII,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton II,,,X,,,,,,,,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,X,
Newton II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton II-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton III,,,,,X,,,X,,,X,,,,,X,,,,,,,X,,,,X,,,,,,,,,,,X,,,,X,,,
Newton IV,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,X,,,,,X,,,,,,,,,,,
Newton V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Newton V-b,,,,,X,,,X,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Newton V-c,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Newton VI,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lontrah,,,X,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,
Delah,,,,,,,,,,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,
Kazarah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka'zaal,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Nirah Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'raal,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Umanah,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Serpentis I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Serpentis II,,,X,,,X,,X,,,,,,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,X,,,
Serpentis II-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpentis II-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpentis III,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Serpentis IV,,,,X,,,X,X,,,X,,,X,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Serpentis IV-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Serpentis V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpentis V-a,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
Serpentis V-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Serpentis V-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpentis V-d,,,X,,,X,,,X,,,,,,X,X,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,
Serpentis VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma I,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,
Syrma I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma I-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma II,,,,,,,,X,,,,,,,X,,,,X,,,,,,,X,,,X,X,,,,X,,,,X,,,,,,,
Syrma II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma III,,,X,X,,,X,,X,,,,,,,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,
Syrma IV,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma V,,,,,,,,,,,X,,,X,,X,,,,,,X,,,,X,,,X,,,,,,,,,X,,,,,,X,
Syrma VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma VI-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Syrma VI-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Syrma VI-c,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,X,,X,,,,,,X,,,X,,,,,,,X
Syrma VI-d,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Syrma VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrma VII-a,,,,X,,,,X,X,,,,,,,X,,,,,,,X,,,X,,,X,,,,,X,,,,,,,,,,,
Syrma VII-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion I,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,
Ternion III,,,,X,,,,X,,,,,,,,X,,,,,,,,,,,X,,,,X,,,,,X,,,,,,X,,,
Ternion III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion IV,,,,,,,,X,,,,,,,X,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Ternion V,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,X,,,X,,,,X,,,
Ternion V-a,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,X,,,,,,,,,X,,
Ternion V-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion VI,,,,,,,,,,,X,,,X,X,X,,,,,,,,,,,X,,,,,,,,X,X,,,,,,X,,,
Ternion VI-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion VII,,,X,,,X,,X,,,,,,,,X,X,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Ternion VIII,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Ternion IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion IX-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ternion IX-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion IX-c,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternion IX-d,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
